epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5,val_quant_error1,val_quant_error5
1,4.84968684967041,5.65976368637085,97.766,99.0,90.262,95.0,99.0,95.0
2,4.290128929290772,5.008541553497315,95.596,99.0,83.358,95.0,99.0,95.0
3,4.178101193237305,7.641746018981934,94.106,99.0,79.648,95.0,99.0,95.0
4,4.063482668762207,4.039583214187622,92.466,92.43,75.824,75.31,92.4,75.19
5,3.913606492385864,3.983005043411255,90.53,91.14,71.244,71.5,90.12,69.38
6,3.77439737197876,4.129766496276855,88.366,90.24,66.93,70.49,90.03,70.4
7,3.6724323828125,3.8081284172058107,86.768,87.71000000000001,63.592,65.42,88.52,68.0
8,3.5741822928619387,3.579732375717163,85.242,84.3,60.896,59.58,84.02,60.05
9,3.4864512507629395,3.531720275115967,83.724,83.62,58.286,59.0,84.2,59.0
10,3.413873469619751,3.4374091354370115,82.218,81.93,56.224,55.72,81.75,56.02
11,3.3358913919830324,3.3356926055908205,80.894,79.9,54.176,53.9,80.08,54.22
12,3.26888985168457,4.1696070949554445,79.468,83.45,51.932,58.22,83.92,58.94
13,3.202613656234741,3.2692833736419677,78.374,79.4,50.454,51.07,79.48,51.4
14,3.146719879837036,3.6605861671447752,77.444,80.95,48.964,55.34,81.1,55.15
15,3.082640613861084,3.190598313522339,75.956,76.96000000000001,47.124,49.74,77.11,50.07
16,3.021317107620239,3.0546430305480956,74.92,74.2,45.592,45.19,74.96000000000001,45.78
17,2.966741775970459,3.2740824462890625,73.96600000000001,78.39,44.254,52.74,78.76,53.02
18,2.9212790631866454,3.9141985893249513,73.126,79.02,43.17,52.04,79.78,52.53
19,2.858868315963745,3.056661904144287,71.562,75.2,41.572,46.38,75.33,46.59
20,2.8115709768676758,3.117357145309448,71.0,73.24,40.638,45.17,73.92,45.26
21,2.7487418661499023,3.137123196029663,69.45,73.36,39.13,44.73,73.46000000000001,44.02
22,2.700847677230835,2.8940014850616453,68.508,71.64,37.946,41.47,70.74,40.73
23,2.6497670581054686,2.788552035522461,67.67,69.63,36.744,40.36,69.82,40.41
24,2.601254189529419,2.777234688949585,66.768,68.94,35.666,39.91,69.18,39.18
